Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
56648660,Cursed Bunny,Bora Chung,"Chung, Bora",Anton Hur,"=""1916277187""","=""9781916277182""",0,4.01,Honford Star,Paperback,251,2021,2017,,2022/05/03,to-read,to-read (#1),to-read,,,,0,,,0,,,,,
41086877,Normal People,Sally Rooney,"Rooney, Sally",,"=""0571334652""","=""9780571334650""",3,3.84,Faber & Faber,Paperback,266,2019,2018,2022/05/02,2022/05/02,,,read,"Alltid svårt att betygsätta dessa bladvändande böcker. Den är ”ett litet liv”-light och var fin. Men samtidigt oroväckande.<br/><br/>Spontan tanke är att dessa författare alltid väljer att skriva om karaktärer som hänvisar till finlitteratur, så att man liksom får det bekräftat (utöver prosan) att jajamänsan, hon har läst Proust!<br/><br/>Overall känns boken lite väl tillrättalagd för att vara nå en viss vibe, som känns väldigt ohälsosam. Inte för att det nödvändigtvis romantiseras, men man får lite dålig eftersmak av att man ska må piss, läsa/skriva, vara obrydd och ha normbrytande sexpreferenser.<br/><br/>Samtidigt, åter tänker jag på uppfattningen om att trauma gör en intressant, en tanke som jag vill ta avstånd från. Det är en längtan bort från svenssonliv, lite av ett kulturellt/emotionellt klasshat. Contentbubblorna får individer att hata på melodifestivalen när det i själva verket bara är ett tv-program som alla andra.<br/><br/>Med det sagt, bra bok",,,1,,,0,,,,,
53061,Death in Venice,Thomas Mann,"Mann, Thomas","Michael Cunningham, Michael Henry Heim","=""0060576170""","=""9780060576172""",4,3.72,Ecco,Paperback,142,2005,1912,2022/05/01,2018/11/03,,,read,"Världens vackraste pojke på svt var en bra påminnelse om att läsa om denna bok!<br/><br/>Bra dokumentär, bra bok.",,,1,,,0,,,,,
7940383,Vi i villa,Hans Koppel,"Koppel, Hans",,"=""9146218726""","=""9789146218722""",3,3.29,Wahlström & Widstrand,Hardcover,178,2008,2008,,2018/11/03,,,read,"Vill minnas att jag tyckte den var bra. Det var något hur innebandygönget beskrevs som jag gillade, typ: <br/><br/>”Vi sitter vid ett runt bord, men ändå sitter Peter på kortändan”<br/><br/>Säkert väldigt felciterat, men taget från minne tre år senare nu när det finns en tv serie.",,,1,,,0,,,,,
17203344,Självporträtt,Édouard Levé,"Levé, Édouard",Kristoffer Leandoer,"=""""","=""9789186617066""",4,4.26,Pequod Press,Paperback,109,2011,2005,2022/01/23,2022/01/23,,,read,En ny bekantskap,,,1,,,0,,,,,
58479977,Korthuset : En domares berättelse om kickarna och spelet bakom världsfotbollen,Jonas  Eriksson,"Eriksson, Jonas",Anders Cedhamre,"=""""","=""9789137158402""",3,3.47,Bokförlaget Forum,Hardcover,300,2021,,2021/11/25,2021/11/25,,,read,"Jag läser boken bra, jag är i toppform, ögonen är piggare än någonsin och koffeinprocenten i mitt blod är över det som min bibliotikarie förväntar sig, 12%. Jag gör inte ett enda misstag under de två dagarna boken konsumeras. Flickvännen tas åt sidan, ”jag måste göra dethär”, hon förstår att jag inte kan medverka på hennes födelsedag, hennes present är att se mig läsa en bok. Hon vet att jag har vad som krävs och att jag kommer göra det bra. Vi tar och käkar middag, tar några medsmugglade sponsrade öl, men mer tänker jag inte på henne, jag tänker redan på nästa biografi, nästa roman, nästa äventyr.<br/><br/>I min kalender har jag skrivit upp alla bokmässor runtom i sverige och jag vet att det enda som hindrar mig från toppen är den byråkratiska processen med adlibris som inte backar, inte gör några undantag, som helt enkelt vägrar att tillåta mig att läsa böcker i förväg. Jag vet att jag klarar det, mitt minne är utomordentligt bra, jag minns varenda sida, varenda mening i varje bok jag någonsin läst. Det är viktigt för mig att kunna skapa en bekväm stämning för min bokhylla och jag är ytterst ansvarig.",,,1,,,0,,,,,
32320112,Platon - Skrifter. Bok 1,Plato,"Plato, Plato",,"=""""","=""9789173538695""",4,4.04,Atlantis Bokförlag AB,Paperback,448,2016,1920,,2018/11/08,,,read,,,,1,,,0,,,,,
7144,Crime and Punishment,Fyodor Dostoevsky,"Dostoevsky, Fyodor","David McDuff, Nina Guerra, Martha, Filipe Guerra","=""0143058142""","=""9780143058144""",5,4.24,Penguin,Paperback,671,2002,1866,2022/01/01,2018/11/03,favorites,favorites (#3),read,"Utgår man från vad sokrates säger i platons text gorgias är raskolnikov som mest eländig och olycklig, men på rätt väg<br/><br/>”[…] den som gör orätt och är orättfärdig är visserligen alltid eländig, men eländigare om han inte sonar sitt brott och lider straff, och mindre eländig om han sonar sitt straff från gudar och människor.”<br/><br/>Trots att nikolaj tycks kommit till undsättning och felaktigt hävdat att han begått mordet, kan raskolnikov inte uppleva lycka förens han dels bekänt, börjat sona för sitt straff fysiskt i sibirien och underkastar sig för sin kärlek till sonja och förmodligen även bibeln. <br/><br/>Alltså kan raskolnikov likställas med platons exempel där han ”står på torget med en dolk gömd i kläderna” då han felaktigt ansett sig ha ”stor makt”, kärnan här är då att trots vanföreställningen om det goda och om rätten att begå orätt oundvikligen leder till en eländig människa. <br/><br/>Trots polos jakande svar på sokrates fråga om ”en man som gör orätt inte straffas blir han alltså lycklig enligt din uppfattning” så vederläggs han av både sokrates och dostojevskijs brott och straff.<br/><br/>Orätten i sig är straffet och man bör alltid försöka vara rättfärdig",true,,1,,,0,,,,,
57809224,Barnen på Hidden Valley Road,Robert Kolker,"Kolker, Robert",Eva Johansson,"=""""","=""9789100187200""",4,4.15,Albert Bonniers Förlag,Hardcover,350,2021,2020,,2021/12/28,,,read,Julklapp som filippa fick av sin mor. Men då jag läste brott och straff på nytt tänkte jag att jag kunde varva med denna bok om schizofreni. Det blev lite mer än så och boken grep tag i mig rätt rejält. <br/><br/>Jag gillade sättet boken varvade karaktärperspektiv och vad forskningen sa under den tid de behandlades. Kändes sällan långsam. Ibland lite väl förutsägbar med färdiga slutklämmar man kunde se från start av stycket.,,,1,,,0,,,,,
52320566,Där kräftorna sjunger,Delia Owens,"Owens, Delia",Cecilia Berglund Barklem,"=""""","=""9789137154831""",2,4.46,Bokförlaget Forum,Hardcover,369,2020,2018,,2021/12/10,,,read,Lite småstapplande med dialog och lite väl förutsägbar och i stunder irriterande. Men en bladvändare som funkade som sömntablett.,,,1,,,0,,,,,
13502407,Svindlande höjder,Emily Brontë,"Brontë, Emily",Birgit Edlund,"=""917429086X""","=""9789174290868""",4,3.88,Bonnier Pocket,Paperback,440,2010,1847,,2021/11/29,,,read,"Lite kuslig, började lite långsamt men 100 sidor in var jag spänd på nästa lässtund. <br/><br/>Då boken legat som inspiration till flertalet av artister jag lyssnar på hade jag en bra känsla av vad som väntade. Har egentligen inte så mycket att säga mer än att boken var som jag förväntat mig? Typ frankenstein, edgar allen poe och madame bovary.",,,1,,,0,,,,,
49972587,Pachinko,Lee Min-jin,"Min-jin, Lee",,"=""""","=""9789177951292""",4,4.31,Bokförlaget Polaris,Paperback,526,2019,2017,,2021/11/08,,,read,"Jag har nog aldrig gjort en uppoffring.<br/><br/>Att leva för andra människor är ett genomgående tema i boken. Och att kvinnor ska lida. Stundtals känns det som att ingen ska få leva, ständigt dessa uppoffringar. <br/><br/>Boken är en riktig bladvändare och personligen gillar jag generationsskiften och många års hopp mellan kapitel. Man tröttnar inte på karaktärerna, men störs utav att alla kvinnor presenteras med en beskrivning om deras byst och hur deras bröstvårtor ser ut. Kanske speglar det historien, men kändes lite ofräscht och onödigt då det inte tillförde något. Men kanske speglar det synen på kvinnan i japan 1930-1980?",,,1,,,0,,,,,
54022911,Att döda en härmtrast,Harper Lee,"Lee, Harper",Eva Johansson,"=""""","=""9789100168186""",4,4.27,Albert Bonniers förlag,Hardcover,358,2020,1960,,2021/11/14,,,read,"Barnberättarperspektivet funkar.<br/><br/>Boken behandlar fördomar och arv på ett intressant sätt. ”Han är en Ewell, fröken” och liknande slängs omkring, som om dessa barn inte kan göras något åt. Samtidigt ligger racismen undermedvetet hos alla invånare (utifrån Scouts perspektiv) men inte något som uttalas, möjligen med undantag kring rättegången. <br/><br/>Jag gillade karaktärerna och översättningen på svenska funkade, trots att man ibland upplevde att man översatt engelska uttryck ord för ord.",,,1,,,0,,,,,
335333,The Assistant,Robert Walser,"Walser, Robert","Susan Bernofsky, Rita Tasa","=""0811215903""","=""9780811215909""",4,4.03,New Directions,Paperback,320,2007,1908,,2021/07/14,,,read,Bra om ev. plikt och känsla av otillräcklighet/tacksamhet till arbetsgivare. Fin natur,,,1,,,0,,,,,
15870826,Min kamp 1,Karl Ove Knausgård,"Knausgård, Karl Ove",,"=""9186675346""","=""9789186675349""",4,4.08,Pocketförlaget,Paperback,442,2011,2009,,2021/09/28,,,read,,,,1,,,0,,,,,
6883330,The Condition of the Working Class in England in 1844,Friedrich Engels,"Engels, Friedrich","Florence Kelley, Florence Kelley Wischnewetzky","=""1406851752""","=""9781406851755""",4,4.00,Echo Library,Paperback,228,2009,1845,,2021/07/08,,,read,"Väldigt nedstämd blir man av att läsa om de hemska förhållande som arbetarklassen utstod/(r?). Intressanta ”hot takes” som jag tar med mig är att arbetarrörelsens fackförbund är indirekt bra för kapitalismen då man säkrar en stabil arbetarkraft, och att per definition är välgörenhet endast ett sätt för överklassen att bibehålla status quo (misär) för arbetarklassen.<br/><br/>Väldigt förvånande att hitta denna boken i cykelförrådet, oläst.",,,1,,,0,,,,,
34697265,I Had Nowhere to Go,Jonas Mekas,"Mekas, Jonas",,"=""3959051468""","=""9783959051460""",4,4.37,Spector Books,Paperback,469,2017,1991,,2021/07/29,,,read,Väldigt fin. Fick mig att känna mig rotlös och kontemplera min livshistoria. Kombinerat med sommarsemester i olika orter relaterade jag till författarens uppskattande av de miljöer han hamnade i. Återberättandet av samtal med olika personer som ofta landar i någon slags uppgivenhet om världens tillstånd. ,,,1,,,0,,,,,
3892153,The Work of Art in the Age of Mechanical Reproduction,Walter Benjamin,"Benjamin, Walter",J.A. Underwood,"=""0141036192""","=""9780141036199""",3,4.07,Penguin ,Paperback,111,2008,1936,,2021/07/14,,,read,"Inte min typ av bok. Väldigt meta och snurrigt i stunder. Bra däremot, det märker man. Ett kapitel om kafka får man också. Mest handlar det om hur film kom att ändra uppfattningen om konst, jag hade nog sökt mer information om själva skapandet av den. Visst finns det lärdomar, men för mig som är obevandrad inom konst så kom inte slutsatserna som banbrytande, antingen var de självklara eller flög ovanför mitt huvud.<br/><br/>På något sätt känns det som att min internetuppväxt ständigt påmint mig om åskådarperspektivet. Hela tiden är innehållet självmedvetet, åskådaren likaså, och ren aura och ”the moment” (dvs. någon genuinitet/naivitet) känns svårt att nå. <br/><br/>Jag har varit på några festivaler och livekonserter och oftast har det varit svårt att nå den intimitet med artisten jag upplevt i mitt sovrum. Oftast blir jag mer besviken desto närmare jag upplevt min relation till artisten. För mig ligger inte konsten alls i ögonblicket, varken tid eller rum, det ligger där jag finner att det passar, i vardagsrummet eller i sovrummet.<br/><br/>Ett indirekt resultat av en väldigt passiv (läs. Lurking) internetuppväxt har varit att liveframträdanden känns pinsamma - att man måste prestera och agera bra publik till artisten - och jag drar mig för att typ se en youtube video på tåget för att då bli kritiserad av medresenärer. Konstigt är det då, att när jag ser på film med vänner ombeds inte prata om alla detaljer som jag fastnar för och att jag ”förstör” filmen. Man vill inte fångas ”missat” något utan vill tydliggöra att man minsann allt hängde med och fattade den där referensen. ",,,1,,,0,,,,,
13452792,Möss och människor,John Steinbeck,"Steinbeck, John",Sven Barthel,"=""9100109142""","=""9789100109141""",4,3.88,Albert Bonniers Förlag,Paperback,137,2006,1937,,2021/06/11,,,read,"Väldigt fin skildring av natur. Fina meningar stundtals, ex. säger denna mening så mycket om George och Lennies relation: <br/>”De hade gått i gåsmarsch utför stigen, och även här i det fria höll sig den ena bakom den andre.”<br/><br/>Påminner en del om filmen ”the green mile”, en vänlig lätt korkad jätte som hamnar i trubbel. Säkert ett inspirationsunderlag.",,,1,,,0,,,,,
49552,The Stranger,Albert Camus,"Camus, Albert",Matthew  Ward,"=""""","=""""",5,4.00,Vintage International,Paperback,123,1989,1942,2021/06/01,2018/11/03,favorites,favorites (#1),read,"Då jag blivit tillfrågad att rekommendera en vän om en lättillgänglig klassiker valde jag att läsa om Främlingen. Den håller än och ser jag fram emot eventuella samtal.<br/><br/>Boken är ett bra inlägg i människans jakt på mening. Kan vara för att det var en av de första böckerna jag läst, men Främlingen ligger mig så varmt intill hjärtat. Språket är tillgängligt och samtidigt lakoniskt. Som svar på frågor ges korta ”Ja” eller ”Nej”, helt i linje med att inte behöva motivera sin mening. Saker är, ibland genom slumpen, ibland solen, ibland bara för att.<br/><br/>Såg också att jag vid första läsningen ringade in meningen: ”Men molnen som gått förbi lämnade liksom ett löfte om regn över gatan som gjorde den mörkare”. Jag undrar varför.<br/><br/>",,,1,,,0,,,,,
56527426,Fallet,Albert Camus,"Camus, Albert",,"=""""","=""9789100179410""",4,4.04,Albert Bonniers Förlag,Hardcover,148,2021,1956,,2021/05/30,,,read,"Många tillfällen då jag tvingats stanna upp för att minnas varför och när jag tänkt liknande tankar som beskrivs i boken. Bra, och som vanligt med Camus en träffsäkerhet som låter en tro att det är universellt delade tankar. <br/><br/>Att ständigt döma men att vara rädd för att bli dömd kanske är den moderna människans tillstånd. Camus spekulerar kring hur den moderna människan kommer beskrivas i historierna: ”De kopulerar och läser tidningen”. <br/><br/>Får bli att läsa om Främlingen då jag hittat tillbaka till Camus!",,,1,,,0,,,,,
36053646,Kitchen,Banana Yoshimoto,"Yoshimoto, Banana",Megan Backus,"=""0571342728""","=""9780571342723""",3,3.88,Faber & Faber,Paperback,160,2018,1988,,2021/05/27,,,read,Fin reflektion om förlust. Nu ska jag äta katsudon,,,1,,,0,,,,,
1009229,Goodbye Tsugumi,Banana Yoshimoto,"Yoshimoto, Banana",,"=""0571212840""","=""9780571212842""",2,3.73,Faber & Faber,Paperback,192,2003,1989,,2021/05/24,,,read,Ok.<br/><br/>Hade förväntat mig mer. ,,,1,,,0,,,,,
97385,Tales of Belkin and Other Prose Writings,Alexander Pushkin,"Pushkin, Alexander","Ronald Wilks, John Bayley","=""0140446753""","=""9780140446753""",3,4.26,Penguin Classics,Paperback,224,1998,1836,,2021/05/22,,,read,"Givet att även läsa pushkin som avslut till de ryska böcker jag tänkte läsa. Efter att ha läst om det enorma inflytande pushkin haft på rysk litteratur förväntade jag mig något mer storartat. Men här är en samling simpla historier som ibland faller platt på grund av hur tydligt berättandet är. Jag vet vad som kommer hända 5 sidor innan berättelsen är slut. Välskriven, men som bok betraktat räckte inte pushkins uppburenhet. <br/><br/>Kanske hade jag fel inställning, får förmodligen återkomma och kanske på svenska. Värt att nämna är att i förordet står det just att pushkin är svår att översätta.",,,1,,,0,,,,,
13010234,För levande och döda,Tomas Tranströmer,"Tranströmer, Tomas",,"=""9100476722""","=""9789100476724""",3,3.86,Albert Bonniers förlag,,35,1989,1989,,2021/05/16,,,read,,,,1,,,0,,,,,
34490257,Demian: Berättelsen om Emil Sinclairs ungdom,Hermann Hesse,"Hesse, Hermann","Erik Ågren, Peter Glas","=""9177422481""","=""9789177422488""",4,4.13,Bakhåll,Library Binding,175,2006,1919,,2021/05/16,,,read,,,,1,,,0,,,,,
10064,Rosshalde,Hermann Hesse,"Hesse, Hermann",Alberto Luis Bixio,"=""9500725959""","=""9789500725958""",3,3.77,Sudamericana,Paperback,217,2005,1914,,2021/05/16,,,read,,,,1,,,0,,,,,
13402958,The Great Gatsby,F. Scott Fitzgerald,"Fitzgerald, F. Scott",,"=""0141389936""","=""9780141389936""",4,3.93,Penguin Books,Paperback,183,2012,1925,,2021/05/16,,,read,,,,1,,,0,,,,,
890935,The Master and Margarita,Mikhail Bulgakov,"Bulgakov, Mikhail","Larissa Volokhonsky, Richard Pevear","=""0140455469""","=""9780140455465""",4,4.30,Penguin Books,Paperback,412,2007,1967,,2021/05/14,,,read,"Jag gillade den! Stundtals var den svår att greppa helt, förmodligen då jag läste den engelska översättningen. <br/><br/>Några skratt fick den allt fram. Speciellt när de hälsar på hos djävulen i ett litet hus och undrar hur insidan är så stort, som svar får de reda på att om man kan kontrollera femte dimensionen är det inga problem att skapa mer yta. Men ibland behöver man inte kunna det, det hade hörts om en man som i moskva lyckats skapa en 4a från en 3a genom att sätta upp en vägg, utan den blekaste aning om den femte dimensionen eller någonting annat för den delen.<br/><br/>Bra fotnoter och många lärdomar om rysk kultur!",,,1,,,0,,,,,
5297,The Picture of Dorian Gray,Oscar Wilde,"Wilde, Oscar","Jeffrey Eugenides, Martha","=""""","=""""",0,4.10,Random House: Modern Library,Paperback,272,2004,1890,,2021/04/26,,,read,,,,1,,,0,,,,,
17801,Underground: The Tokyo Gas Attack and the Japanese Psyche,Haruki Murakami,"Murakami, Haruki","Alfred Birnbaum, Philip Gabriel","=""""","=""""",5,3.91,Vintage,Paperback,309,2003,1997,,2021/04/25,,,read,"Efter att ha läst flertalet japanska berättelser (rekommenderar starkt [b:The Penguin Book of Japanese Short Stories|36349572|The Penguin Book of Japanese Short Stories|Jay Rubin|https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1518335097l/36349572._SY75_.jpg|58031212] samt [b:Toddler-Hunting & Other Stories|293118|Toddler-Hunting & Other Stories|Taeko Kōno|https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348075210l/293118._SX50_.jpg|284406]) så kändes det självklart att läsa denna bok för att förstå det japanska psyket. <br/><br/>Boken är inget litterärt mästerverk, då Murakami enbart återberättar de intervjuer han haft med överlevare/anhöriga och (i nyupplagan) även folk med anknytning till Aum. Varje person får väl 5-15 sidor och för mig finns charmen i återberättandet. Personers karaktär genomlyser och för mig var det trevligt att läsa om individers morgonrutiner och att det var konstigt att det var ""just idag"" som de skulle ta tåget lite tidigare eller senare. Sammantaget får man en känsla för Tokyos invånare och vilka värderingar som finns. <br/><br/>Det finns en P3 dokumentär som kan introducera en läsare till ämnet, men för mig övergick läsningen från ett initialt intresse av händelsen till ett intresse av japanska befolkningen.",,,1,,,0,,,,,
76542,Ararat,Louise Glück,"Glück, Louise",,"=""088001248X""","=""9780880012485""",4,4.09,Ecco,Paperback,72,1992,1992,,2021/04/25,,,read,"Jag minns när en vän bekände för mig att denne önskat haft en intressant (läs svår) barndom och att denne önskade gilla viss musik och kultur genuint. Ett samtal och idé som kanske i stunden hastigt förkastats men som blivit ett minne som symboliserar personens strävan.<br/><br/>När jag läser Louise Glück påminns jag om min vän och dennes önskan. Familjen känns verklig och jag dras mellan fruktan och fascination för uppväxten. Dikotomin om en vacker/formativ men samtidigt skärrande/nedbrytande uppväxt tillsammans med ett avskalat språk som tillåter för många reflektioner och utforskande av små enkla ideér.<br/><br/>Att läsa under corona om en så dysfunktionell men samtidigt oerhört närvarande familj passade väl och boken är ett stycke tillgänglig poesi. Poesi som inte håller på med krusiduller utan är rättfram. <br/><br/>Favs: Blomsterälskare, En fabel, Brun cirkel, Barn som kommer hem från skolan, Djur, Kusiner.",,,1,,,0,,,,,
210190,The Double,Fyodor Dostoevsky,"Dostoevsky, Fyodor",Constance Garnett,"=""0486295729""","=""9780486295725""",4,3.69,Dover Publications,Paperback,144,1997,1846,,2021/04/25,,,read,"Med tanke på att det är ett tidigt verk ser man i detta verk potentialen och förmågan att beskriva händelser indirekt, mer välskrivet möjligen i Brott och Straff och Spelaren. Att Kafka möjligen inspirerats av detta verk nämns i förordet till den svenska upplagan och det verkar definitivt sant. Även denna bok skriver Dostojevskij utifrån ett narrativ där ""vår hjältes"" erfarenheter ses som sanning och man delar förvirringen. En intressant läsning om man kanske vill undvika Brott och Straff (inledningsvis) och vill förstå Kafkas influenser mer.",,,1,,,0,,,,,
82660,Tonio Kröger,Thomas Mann,"Mann, Thomas","John J.   White, Ann White","=""185399345X""","=""9781853993459""",4,3.72,Bristol Classical Press,Paperback,67,2013,1903,,2021/03/09,,,read,,,,1,,,0,,,,,
1998095,Mig äger ingen,Åsa Linderborg,"Linderborg, Åsa",,"=""9173893218""","=""9789173893213""",3,3.83,Bokförlaget Atlas,Paperback,294,2008,2007,,2021/03/09,,,read,,,,1,,,0,,,,,
141077,The Kreutzer Sonata,Leo Tolstoy,"Tolstoy, Leo","Isai Kamen, Doris Lessing","=""0812968239""","=""9780812968231""",4,3.89,Modern Library,Paperback,128,2003,1889,,2020/12/13,,,read,,,,1,,,0,,,,,
